Latitude,Longitude,Depth,MSSD_id
-16.8881328,35.25188861,0,301
-17.165,35.135,0,301
-17.20162861,35.22996157,14.43705866,301
-16.92476178,35.34670944,14.43705866,301
-16.8881328,35.25188861,0,301
-16.25425399,34.85378204,0,302
-15.894,34.406,0,302
-15.893,34.399,0,302
-15.826,34.336,0,302
-15.83,34.317,0,302
-15.698,34.168,0,302
-15.684,34.013,0,302
-15.5,33.802,0,302
-15.68937928,33.65373116,35,302
-15.87337867,33.86459653,35,302
-15.88737862,34.01958622,35,302
-16.01937818,34.16848844,35,302
-16.01537819,34.18749142,35,302
-16.08237797,34.25044145,35,302
-16.08337796,34.2574407,35,302
-16.44363074,34.70495,35,302
-16.25425399,34.85378204,0,302
-16.57401313,34.89834584,0,303
-16.606,34.946,0,303
-16.48223193,35.03636284,22.29185897,303
-16.45024511,34.98869377,22.29185897,303
-16.57401313,34.89834584,0,303
-16.4554319,34.97032221,16.79296314,304
-16.45542275,34.97032772,16.7945233,304
-16.44078463,34.95111808,17.30594443,304
-16.4407828,34.9511176,17.3058098,304
-16.44040184,34.95061838,17.31916208,304
-16.44039514,34.95063358,17.3210938,304
-16.39864045,34.89588636,18.78361484,304
-16.39862482,34.89588484,18.78550478,304
-16.38803355,34.88198683,19.15538793,304
-16.3880243,34.8819924,19.15696425,304
-16.50046811,34.8143378,0,304
-16.554,34.911,0,304
-16.4554319,34.97032221,16.79296314,304
-16.33507475,34.79026464,14.93703243,305
-16.33507213,34.7902667,14.93654711,305
-16.30766994,34.75303661,15.225333,305
-16.30766441,34.75304064,15.22632791,305
-16.39220331,34.69138645,0,305
-16.482,34.825,0,305
-16.33507475,34.79026464,14.93703243,305
-16.3085523,34.81110876,10.03523768,306
-16.30854638,34.81111341,10.03414479,306
-16.28466912,34.78091462,10.08153638,306
-16.28465868,34.78091062,10.0823758,306
-16.26947287,34.76173967,10.11035137,306
-16.26947034,34.76172145,10.10901658,306
-16.20426535,34.67932637,10.23901591,306
-16.20426447,34.67932328,10.23919727,306
-16.1963014,34.66921788,10.25088123,306
-16.19628234,34.66923394,10.25449929,306
-16.25029944,34.62370748,0,306
-16.41,34.829,0,306
-16.3085523,34.81110876,10.03523768,306
-16.17294206,34.88576557,0,307
-15.897,34.653,0,307
-16.00069101,34.51973909,24.32266056,307
-16.27663232,34.75231881,24.32266056,307
-16.17294206,34.88576557,0,307
-16.42360094,35.10164953,0,308
-16.206,34.89,0,308
-16.31837793,34.76438967,24.32266056,308
-16.53597834,34.97589847,24.32266056,308
-16.42360094,35.10164953,0,308
-16.64102313,35.52717751,0,309
-16.579,35.415,0,309
-16.497,35.38,0,309
-16.42,35.296,0,309
-16.4930053,35.21984765,15.23777883,309
-16.57000523,35.30381726,15.23777883,309
-16.65200516,35.33878473,15.23777883,309
-16.71402824,35.45093751,15.23777883,309
-16.64102313,35.52717751,0,309
-16.49156909,35.22257,0,310
-16.307,35.061,0,310
-16.271,35.084,0,310
-16.157,34.974,0,310
-16.073,34.876,0,310
-15.813,34.736,0,310
-15.92328174,34.56587461,29.11881361,310
-16.18328059,34.70565232,29.11881361,310
-16.26728022,34.80357962,29.11881361,310
-16.38127972,34.91348028,29.11881361,310
-16.41727956,34.89044875,29.11881361,310
-16.60184783,35.05185583,29.11881361,310
-16.49156909,35.22257,0,310
-16.49216238,35.22112759,0,311
-16.212,34.967,0,311
-16.28622506,34.87802208,16.69885523,311
-16.5663871,35.13202131,16.69885523,311
-16.49216238,35.22112759,0,311
-16.32372484,35.1539821,0,312
-16.157,34.974,0,312
-16.073,34.876,0,312
-15.813,34.736,0,312
-15.91490369,34.60031446,24.43420706,312
-16.17490296,34.74013727,24.43420706,312
-16.25890272,34.83807933,24.43420706,312
-16.42562709,35.0179454,24.43420706,312
-16.32372484,35.1539821,0,312
-15.77328407,35.03072993,0,313
-15.544,35.127,0,313
-15.48,35.161,0,313
-15.374,35.214,0,313
-15.194,35.299,0,313
-15.12570297,35.14739291,23.828778,313
-15.30570234,35.06226331,23.828778,313
-15.41170197,35.00918619,23.828778,313
